"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
81.0418469836811,0.190820696377735,0.381309703931253,0.500434933625866,0.616768860660608,0.726802529053969,"A1CF"
1.7620847508804,-0.708263946451974,1.05006962262406,-0.67449236811752,0.499998336173264,0.628418136197068,"A2M"
2.42903903859686,-0.310821345608855,0.792339673585756,-0.392282951328468,0.694849159074091,0.788722429307991,"A2M-AS1"
1.07790113887014,2.9573967092321,1.42097211202505,2.08124894514466,0.0374111256308043,0.0847511733512498,"A2ML1"
516.393693890791,0.0291174119203131,0.140510534266538,0.207225828812803,0.835833496620176,0.892568130797852,"AAAS"
2429.68130470946,-0.00478012503174466,0.134627004114098,-0.0355064354525297,0.971675914863496,0.980817449999253,"AACS"
76.1361681886538,2.15293196478745,0.369534037224126,5.8260721555175,5.67470885347198e-09,1.61870565177952e-07,"AADAT"
1600.64373651011,-0.319277781035385,0.180334948934834,-1.77047090938962,0.0766487263259496,0.15041690925833,"AAGAB"
1009.05143331892,-1.06247924004614,0.156713679489443,-6.77974790399661,1.20385760227646e-11,8.07491264522756e-10,"AAK1"
11.9045624198664,-0.58447634175501,0.426539192443877,-1.3702758201567,0.170600818058233,0.282443634647479,"AAMDC"
2008.72983200373,-0.169507503341695,0.150019076819632,-1.12990632215058,0.258515699708068,0.38641167198322,"AAMP"
1.99287205311866,0.322285929464,1.28762312055491,0.250295233379398,0.802359042393367,0.870212963169479,"AANAT"
516.247975443728,0.250749296898699,0.147070167916307,1.70496369489013,0.0882011956710987,0.168147623713091,"AAR2"
3179.31181147825,0.287888443349832,0.250641774286411,1.14860519228873,0.25071881506918,0.377281562933207,"AARS1"
313.042001721571,0.306721648413333,0.204184585913837,1.50217827188368,0.133051074721434,0.233286861955519,"AASDH"
86.3269451651254,0.789641263152269,0.191382569867858,4.12598317442119,3.69154258098582e-05,0.00027345872099998,"AASDHPPT"
11.832641711814,0.62447407970124,0.56805415894242,1.09932137608826,0.27162791165095,0.401667834056235,"AASS"
10.4325782469993,0.800758278633151,0.515990277465476,1.55188636996504,0.120689414788996,0.215519910891054,"AATBC"
574.036616887166,0.0290936717046719,0.149244515329801,0.194939637415691,0.845440203236176,0.898756757167051,"AATF"
977.759427313702,-0.57505738943189,0.465584632324731,-1.23512966173421,0.216782251762446,0.338222508808152,"AATK"
267.273136676349,-0.140036640458733,0.312858739054467,-0.447603416423519,0.654439437076859,0.755368897384918,"ABAT"
143.990728504627,-1.19232912030984,0.559304623481244,-2.13180630063186,0.0330227734728621,0.0767689745465568,"ABCA1"
180.11660173749,-0.650412191116786,0.503691808947087,-1.29128999035422,0.196603140233151,0.313665412411383,"ABCA10"
4.08054803603276,2.23274085244361,0.792212603328021,2.81836068129193,0.00482695535866978,0.016297582425197,"ABCA12"
71.1790152283829,-0.0781943835960933,0.428152914161261,-0.18263190792307,0.855086846492052,0.905879976170935,"ABCA13"
3427.42056033607,-0.804373745813688,0.394710992883382,-2.037880272697,0.0415619079219674,0.0919132219474491,"ABCA2"
539.328499480119,0.482452459292514,0.25425040428885,1.89754844497477,0.0577555913164368,0.119855001216026,"ABCA3"
4.69344376588625,2.13684449768868,0.839713775880456,2.5447295960438,0.0109362389702611,0.0315378389876336,"ABCA4"
862.028225121734,-1.61178565240775,0.330566342859866,-4.8758310917667,1.0835129366392e-06,1.36785159791039e-05,"ABCA5"
9.45620160034762,-1.59334136657522,0.785784753713655,-2.02770715395662,0.0425901450785087,0.0938763393033923,"ABCA6"
2135.63493135861,-1.2249782759121,0.346462715589626,-3.53567128811357,0.000406740461864341,0.00206213040611867,"ABCA7"
1.28796501919288,-3.04350247865466,1.44796377346307,-2.10191893915658,0.0355603772035714,0.0814616185982356,"ABCA9"
5381.25576720933,-1.54565620076399,0.342342868222991,-4.51493617725141,6.33358372299081e-06,6.18596383863282e-05,"ABCB1"
826.423105594421,-0.0994326930268331,0.19564475464216,-0.50823081461447,0.611291483034719,0.722483324299431,"ABCB10"
104.576539821454,-1.8800424186794,0.996068628994257,-1.88746273495,0.0590981140190646,0.122040688630636,"ABCB11"
64.0153228710209,0.935374723087129,0.519689050357021,1.79987383310181,0.0718805622812633,0.142807943230999,"ABCB4"
1.14743500048434,1.57674562460145,1.23574738388424,1.27594494244072,0.201974982478741,0.3201048881974,"ABCB5"
537.495338496764,0.56907284409207,0.160084897742379,3.55481904987606,0.000378239300880716,0.00193600071277738,"ABCB7"
803.999594061866,-0.316526869113919,0.175443554836421,-1.80415216397685,0.0712074560477603,0.141815003663991,"ABCB8"
350.818879824681,-1.15757576980676,0.370755653770528,-3.12220665560832,0.001795008899807,0.00716528577510109,"ABCB9"
1676.86784684497,0.471127101011343,0.214188247071916,2.19959361660566,0.0278357404897382,0.0669419075594049,"ABCC1"
845.101609367722,-0.112069376428474,0.163874690643515,-0.683872390473426,0.49405574973083,0.622755757503927,"ABCC10"
13.3782106952076,-1.21144893147182,0.468486030807501,-2.58588058513446,0.00971305751906783,0.0286600451110209,"ABCC11"
148.968481055986,0.00447986920764407,0.631130725989174,0.00709816369758065,0.994336532333647,0.99601405585108,"ABCC2"
15843.3752067979,-0.744226645628711,0.277725259922125,-2.67972256408147,0.00736832017772747,0.0230131546062522,"ABCC3"
238.146615203633,2.140921901301,0.499339501407005,4.28750758806074,1.80689087029415e-05,0.000148642133765374,"ABCC4"
574.129401265394,0.132710690676081,0.189872030368227,0.698948077917054,0.484584479865334,0.61424636646803,"ABCC5"
