C0,C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
SHD,,,PRC1,PITX1,SBF2,,,MACROD1,,CTSE,LMNB1,HHLA2,DEFB1,HSD17B2,LRRC19,VIM,KRT7,LAPTM5
TYMS,,,DTYMK,SDR16C5,LPIN3,,,ECSIT,,HLA-DRB5,NUDT1,CTC-490G23.2,PRAP1,SLC20A1,TTC37,HLA-DPB1,MYRFL,EVL
LLPH,,,FAM83D,ASNS,DNAJB1,,,MYC,,APOL1,RMI2,PRSS23,TSPAN7,UNC5C,CCL28,MIR155HG,SLC35C1,CXCR4
COPB2,,,GPSM2,PRSS22,HNRNPU-AS1,,,SNX2,,ERO1L,UNG,PDLIM2,NAT2,METTL21A,TSPAN6,TNFRSF17,AC005540.3,CD7
CENPN,,,RACGAP1,HOXB13,B3GNT7,,,CNDP2,,SLC40A1,DTYMK,SMPDL3A,PAPSS2,CTD-2319I12.1,PPP1CB,PCED1B-AS1,CIDEC,HCST
PDCL3,,,SPAG5,,GPR82,,,MRPL43,,SLC16A3,SMC4,GCNT3,LPCAT4,SAMHD1,HGD,CYSLTR1,PRSS22,GMFG
RPP25L,,,BUB1,,ADAMDEC1,,,ACSM3,,ASS1,RFC3,CLCA4,TMEM171,RHOV,CDC42EP5,FBLN1,IL1B,TRBC2
GPS1,,,KIFC1,,MCL1,,,HM13,,QSOX1,SPC25,HSD17B2,NR1H4,SAMD9L,HEBP2,C4orf26,WISP2,CD3D
EPHX1,,,TTK,,IGLC2,,,CTSC,,HLA-DQB1,CENPW,ISG15,RSU1,GPRC5C,BCL2L15,VCAM1,RP11-395B7.4,CD69
WASF2,,,CKAP2,,FN1,,,APMAP,,CDA,DSN1,RHOF,NDUFS1,CDHR2,EHF,KIAA0125,SERPINB7,LTB
MVB12A,,,RRM2,,EPHA2,,,ADCK3,,CXCL3,APOBEC3B,DEFB1,SPPL2A,RP11-680F8.1,PUS7L,NR4A1,ARHGDIG,PTPRCAP
MAEA,,,KIF2C,,RP5-892K4.1,,,MESP1,,ISG15,TUBG1,SLC9A3R1,RP11-48O20.4,MYO15B,KRAS,C1S,MSX1,CD52
SF1,,,ZWINT,,LINC00685,,,SLC39A5,,MUC2,CCDC34,CLDN23,AXDND1,CEACAM1,CAPZA1,DCN,C1orf167,CORO1A
C7orf50,,,PSRC1,,RP11-46H11.3,,,TMC4,,ISG20,RNASEH2B,CDKN1A,URAD,ST3GAL4,CTTN,HSPA1B,RP5-884M6.1,SRGN
RFXANK,,,TACC3,,CDCA7,,,LTA4H,,EMP1,SMC2,CDKN2B,BCL2L15,SLC2A5,CTSZ,CPS1,TRIM54,RGS1
CCDC115,,,SGOL2,,GDF15,,,HEBP1,,IGHG3,RFC5,PPP1R14A,SGK2,MEP1A,FSIP1,LYZ,RHOF,VIM
SPAG16,,,CDCA8,,TNRC6B,,,ARMC10,,FHL2,CDK2,C1orf115,CDHR5,RP11-17M24.1,UBL3,DUSP5,LINC00941,RAC2
SMARCE1,,,UBE2T,,RP11-727F15.9,,,DNAJC4,,TNIP3,NAP1L1,MGLL,THOP1,ADCY5,RILP,SYNGR1,TRIM7,ARHGDIB
MPDU1,,,SMC2,,GOLGA8A,,,PPP1R16A,,PLAUR,CDK4,NDRG1,CEACAM7,LGALS9C,TAF13,AL928768.3,ALDOB,CD38
